Rank,Title,Artist,Genre,Lyrics
68,I Never Lie,Zach Top,['Country'],time angel heard doin fine promot april met dad sleep babi late drink whiskey feel hurt lone goodby lie yeah met model beg malibu decid day likechoru sleep babi late drink whiskey feel hurt lone goodby lie bridg yeah sleep babi late drink whiskey feel hurt lone goodby lieemb
69,Think I'm In Love With You,Chris Stapleton,"['Adult Contemporary', 'Singer-Songwriter', 'Country']",babi happen chang sound strang love time wanna makin lose mind thinkin time wanna dream true love love ooh power truth life thе air breathin girl light wanna yourе everythin reason woman chri stapleton liveget ticket likechoru love time wanna makin lose mind thinkin time wanna dream true love love time wanna makin lose mind girl thinkin time wanna dream true love love time wanna makin lose mind girl thinkin time wanna dream true love love outro love love love yeah love love yeah love youemb
70,Burning Down,Alex Warren,"['In English', 'USA', 'Pop']",guess knife close close scar call friend truth cold cold prechoru wipe dirt shirt yeah fire start hous burn led saint sinner fed em lie dinnеr hous burn postchoru oohooh oohooh oohooh oohooh oohooh ooh likevers sleep night onе hide betray alibi chanc amend drunk bitter claim innoc sad fire start hous burn led saint sinner fed em lie dinner hous burn bridg pray pray downfal dig grave share wall pray pray downfal dig grave share wall fire start hous burn led saint sinner fed em lie dinner hous burn outro pray pray pray downfal downfal dig grave share wall pray pray downfal dig grave share wall youemb
71,Prove It,21 Savage & Summer Walker,"['USA', 'In English', 'Trap', 'Atlanta Rap', 'R&B', 'Rap']",faith evan savag love love life preciou babi dedic love child child yeah woah savag summer walker pourin wocki greec east leavin cream sheet brother niec safe space babi bringin peac street shallow deep yeah wanna cuddl week mamanem innoc freak carе exe whatevеr playin makin em swingin hoe comb dread fell love braid gutter bitch cook clean load ks bodi daze matter slay card declin fuck makeup fine nigga dollar dime nervou gotta love sign yeah care goin ridin fuck bring tabl bae tabl eatin dine ohoh likechoru summer walker babi twin disrespect comin nigga play gon sin babi love trust pray hoe prove savag summer walker nigga mold nigga hold lil boy told lookin closur hit eliantt froze yeah yeah bear polar play cat doja throw shit pose trust takin easi wanna neeki actin shi freaki piec rees sayin bae meet salon peachtre pullin bp yeah presidenti dc love loui grab ass greet heard nigga sweet tea cuf releas babi talk stori bae subtweet summer walker babi twin disrespect comin nigga play gon sin babi love trust pray hoe prove outro summer walker love life dedic dedic youemb
72,Nel,Fuerza Regida,"['Latin Pop', 'México', 'En Español', 'Latin Urban', 'Latin Music', 'Pop']",lyricsletra nel coro hoy pensé en salir buscart pero nel llamart pero nel otra noch otro hotel palo van má tre loca sé quién enamoró mi cartier sí bien rica pero nel culoncita pero nel verso colombiana pura diez camarada chanel prada mami prend mama tú quier te pongo jeepeta casa piel verd esta loquera encanta refrán babi perdí en tu ojo desd esa noch mami tien bien loco whiskey tequila falt coco mami yo te toco quítam el antojo coro hoy pensé en salir buscart pero nel llamart pero nel otra noch otro hotel palo van má tre loca sé quién enamoró mi cartier sí bien rica pero nel culoncita pero nel fuerza regida liveget ticket likeverso tú mi muñequita aferraft pal tusi una experta una master preciosa una alérgica látex cómo lo bate cómo lo bate duro tú mi muñequita aferraft pal tusi una experta una master preciosa una alérgica látex cómo lo bate cómo lo bate refrán babi perdí en tu ojo desd esa noch mami tien bien loco whiskey tequila falt coco mami yo te toco quítam el antojo outro tú mi muñequita aferraft cómo lo bate cómo lo bateemb
73,The Emptiness Machine,Linkin Park,"['Alternative Rock', 'Alternative Metal', 'Metal', 'In English', 'USA', 'Rock']",mike shinoda blade sharpen precis flash favorit view wait distanc prechoru mike shinoda pull skin mike shinoda cut watch bleed hopin receiv fallin promis empti machin empti machin emili armstrong emili armstrong mike shinoda goin revolv decid lose altar lyin lyin prechoru mike shinoda emili armstrong pull skin linkin park liveget ticket likechoru emili armstrong cut watch bleed hopin receiv fallin promis empti machin bridg mike shinoda emili armstrong mike shinoda emili armstrong cut watch bleed hopin fuckin naiv fallin promis empti machin empti machin outro emili armstrong mike shinoda empti machin empti machineemb
74,Too Fast,Future,"['Hip-Hop', 'USA', 'Southern Rap', 'In English', 'Trap', 'Atlanta Rap', 'Rap']",yeah yeah yeah yeah nigga yeah yeah gettin bodi matchin aesthet sayin motherfuck appreciatin shit cool bought patek movin fast gwagon movin fast condo movin fast goin fast movin fast gon yeah bought patek movin fast yeah richard milli movin fast yeah yeahyeah poppin swap em week pluto cashin sixtythre shouldv lеase rack goin brazi rodeo hеr feast day tryna greec crazi treat hermè fuckin trick quarter time heard bout song gon poppin bro wrong keepin solid solid bought kelli hope deserv talk friend told splurgin settl worth woke purs pull coup gutter backdoor chanen treatin love unnecessari spendin hidin mother bitch reveng fuck brother yeah likechoru gwagon movin fast fast condo movin fast fast movin fast gon yeah bought patek movin fast ap richard milli movin fast yeah dollar spendin rack fast tryin spend bag drivin fast doin dash tryin birth design ap tryin holdin traffic bought design district truck bag pilin feel bvlgari wildin bodi throw carti love bracelet lustin bad luck havin nigga fuckin imagin doin bid nigga nuttin invis princess cut ima lookin bogu ridin flawless baguett readi shine bitch cover pucci floor rack exhaust throw bought patek movin fast yeah gwagon movin fast fast condo movin fast fast movin fast gon yeah bought patek movin fast ap richard milli movin fast yeah yeahyeah outro babi girl fast fast bodi fast gwagon movin fast fast condo movin fast fast movin fast saidemb
75,Residuals,Chris Brown,"['USA', 'In English', 'DMV Rap', 'R&B']",night complic recal morn fade karma definit jade stay mind stay mind tryna muzzl crazi feel minut cool trip swear deserv wast mind mind prechoru build build wash lace lace watch love love love time teach taught ya nicknam think swear wear residu chri brown liveget ticket likepostchoru residu residu wanna sequel lie feel mutual time realiz peopl love blind love blind prechoru build build wash lace lace watch love love love love time time teach taught ya nicknam think swear wear yeah residu postchoru whoemb
76,Casual,Chappell Roan,"['Soft Rock', 'Shoegaze', 'Dream Pop', 'Alternative Pop', 'LGBTQ+', 'USA', 'In English', 'Singer-Songwriter', 'Pop']",friend loser hang heard rumor girl bang couch lose kiss anger issu prechoru babi attach kneedeep passeng seat eat casual week mom invit hous beach casual friend casual casual babi casual casual dumb love love stupid dream apart friend pier likeprechoru babi attach kneedeep passeng seat eat casual week mom invit hous beach casual friend casual casual babi casual bridg hard casual favorit bra live dresser hard casual phone talk sister chill girl hold tongu space chill girl honestli kneedeep passeng seat eat week mom invit beach hous friend babi outro fuck bathroom dinner parent tabl bitter brag friend hit hate truth dude hate drag hate hate drag hellemb
77,El Lokeron,Tito Double P,"['En Español', 'México', 'Regional Mexicano', 'Corrido', 'Latin Pop', 'Latin Urban', 'Latin Music', 'Pop']",lyricsletra el lokerón verso gorrita lado lo ojo tumbado cargo placón loco cabrón así dicen soy lo plebe andan ondeado bajan lo vidrio humaderón sale el olor pura flor tengo llamada perdida mi morra ya varia vece marcó quier ya regres pal cantón dé por perdida hay pedo aquí tengo amiga lado lo muev mucho mejor mucho mejor coro te tengo aquí mi lado pero paso chingón van cuatro día enfiestado encerrado traigo loquerón loquerón por amor el loquerón interludio tito doubl el loquerón mi ay mamá verso pata fondo acelerado bien adiamantado traigo el rolexón atrá mí vien convoy convoy lo plebe andan ondeado la punta por fuera el blindadón en el depa reventón ya empezó póngans pila la bandida llegarán en calor ahí vienen do miguelón duerma plebada ahí vienen morrita medio millón en el tiktok lo mejor lo mejor likecoro te tengo aquí mi lado pero paso chingón van cuatro día enfiestado encerrado traigo loquerón loquerón por amor el loquerón outro instrumentalemb
78,Belong Together,Mark Ambor,"['Folk', 'Acoustic', 'In English', 'USA', 'Pop']",sleep friend death rest workin damn day blueberri butterfli pretti greet eye belong cold ice tea warmer weather lay late pine fun thе sun shine belong togеther time postchoru woah spillin wine homemad drink throw cheer worri sink damnit aliv time likechoru belong cold ice tea warmer weather lay late pine fun sun shine belong bridg love belong cold ice tea warmer weather lay late pine fun sun shine belong time outro hey hahaha wooemb
79,Plutoski,Future,"['In English', 'USA', 'Atlanta Rap', 'Southern Rap', 'Trap', 'Hip-Hop', 'Rap']",woah yeah yeah care regular nigga regular pointer stunt gon gram chain gettin currenc chang goin countri street nigga gangster shit bein famou hang nigga fals claimin tryna talk yeah bitch clariti runnin shit yeah plutoski chop door ski chop door hing plutoski whip bowl ski trappin load plutoski sippin dope ski mode plutoski told dog ski plutoski filipino korean taggin em ridin satan plutoski throw magazin street boy goin dark nasti lil blog ga likechoru yeah uh yeah trappin trap yeah yeah yeah flippin strap yeah syrup flippin yeah thuggin thug yeah thuggin yeah blessin bless yeah yeah yeah flippin flippin yeah yeah yeah yeah uh yeah trappin trap yeah flippin strap yeah flippin yeah thuggin thug yeah thuggin yeah blessin bless yeah yeah yeah flippin flippin yeah yeah yeah yeah vere rappin robbin street boy millionair drinkin lean filipino korean send lo pullin mornin hoggin road benz tail tanglin friend tanglin em doin rich nigga throw parti crib throwin ferrari ear yeah uh yeah trappin trap yeah yeah yeah flippin strap yeah syrup flippin yeah thuggin thug yeah thuggin yeah blessin bless yeah yeah yeah flippin flippin yeah yeah yeah yeah uh yeah trappin trap yeah flippin strap yeah flippin yeah thuggin thug yeah thuggin yeah blessin bless yeah yeah yeah flippin flippin yeah yeah yeah yeahemb
80,Chihiro,Billie Eilish,"['R&B', 'Psychedelic Trance', 'Progressive Trance', 'Progressive Electronic', 'Progressive Pop', 'Electro-Pop', 'Electronic', 'Melodic Techno', 'Melodic House', 'Synthwave', 'Easy Listening', 'Electro-Funk', 'Nu Disco', 'Dance', 'Dance-Pop', 'Synth-Pop', 'Electroclash', 'Witch House', 'Alternative Pop', 'Alternative', 'USA', 'In English', 'Pop']",love forget tomorrow kinda strang feelin sorrow chang yup borrow borrow tomorrow door door cope told war store hope door refrain love seat counter look takin break rеturn gonе billi eilish liveget ticket likebridg call call refrain love interlud waitin garden contemplatin beg pardon recogn feel told told curiou door door cope told war store hope door postchoru wring hand lap trap outro wring hand lap trap wring hand lap trap hmhmemb
81,No One Noticed,The Marias,['Pop'],lost mind notic notic kinda bein lone lost virtual connect lost video obsess read eye true kinda bein lone virtual connect time video obsеssion refrain leav mе easi babe guess plane fli citi excit hold consol leav trace leav easi babe guess plane fli citi excit hold consol leav trace leav easi babe guess plane fli citi excit hold consol leav trace leav easi babe guess plane fli citi excit time hold consol leav trace likechoru kinda bein lone virtual connect time video obsessionemb
82,Teflon Don,Future,"['In English', 'USA', 'Atlanta Rap', 'Southern Rap', 'Trap', 'Hip-Hop', 'Rap']",lyricsprechoru yeah yeah yeah yeah yeah yeah yeah beat john gotti woah beat beat john gotti dog bitch boss shot spread band raw spot boy rock poppin hotel readi play bail fore hit plate hous smell throwin tray margiela chain advil freebandz nigga motion motion feel field ima crash fuck opp makе mama gotta hit hurt grrt grrt thеi gon shoot church goin bezerk ayi gang goin mission stayin alert street chop vert plutoski bitch feelin bitch feelin energi ho stroll tennesse control motion beneath crunk shit talkin vneene bitch turnt chaneene stripe turf kiddin ice dirt shittin load boat drop pin hit nitro motor pushin freebandz record shit killer fuck money tragedi bread dummi threatenin murk tape drummi press delet drivin brain sittin seat fli dope countri treasur tree woo flyer pilot key fuck narcot street block gon snatch cuban link ski tote draco trench ski hear chain clank turnin freebandz money burnin fit stuff slatt time tough slatt whoop bugatti chuck brother love set em grrt grrt ski likeprechoru plutoski yeah yeah yeah yeah yeah yeah yeah beat john gotti woah beat beat john gotti dog bitch boss shot spread band raw spot mixtap pluto outro yeah yeah ski yeah yeah ski ski mixtap plutoemb
83,Apple,Charli xcx,"['Alternative', 'England', 'Glitch', 'Synthwave', 'Synth-Pop', 'Electro-Pop', 'Electronic', 'Dance-Pop', 'Dance', 'In English', 'UK Pop', 'UK', 'Pop']",guess appl fall tree wanna throw appl sky feel understand wanna drive airport airport airport airport guess appl yellow green lot nuanc wanna grow appl seed angri listen leav airport airport airport airport airport airport airport airport interlud yeah yeah gonna drive gonna drive night gonna drive gonna drive night charli xcx liveget ticket likevers appl rotten core pass appl come split appl symmetr line kinda scari wanna drive drive drive drive drdrdrdrive drive drive gonna drive gonna drive night gonna drive gonna drive night drive drive drive drdrdrdrive drive outro wanna feel feel wanna feel feel youemb
84,Thick Of It,KSI Featuring Trippie Redd,"['UK Rap', 'Comedy', 'Meme Rap', 'UK Pop', 'Rap', 'Midwest Rap', 'In English', 'USA', 'England', 'Pop Rap', 'UK', 'Pop']",ksi snow ski froze nothin bout ice cold somethin milli sub told ksi prime final form knock feet floor live straight soldout tour life fight trust readi war prechoru ksi woahohoh stori woahohoh guess stori ksi snow ski froze nothin bout ice cold somethin milli sub ivе told ksi screen pеn king crown bling drama heart smash ceil reach star likeprechoru ksi woahohoh stori woahohoh guess stori ksi trippi redd snow ski froze woo nothin bout ice cold somethin milli sub told trippi redd ksi trippi redd ksi highway heaven cruisin lone cast left dead peopl cold faith god mind sun bout sow yeah life hard wheel crack code yeahyeah woahohoh gon save life break yeah woahohoh stori ksi trippi redd ksi trippi redd snow ski froze woo nothin bout ice cold somethin milli sub told snow ski froze yeah nothin bout ice cold somethin milli sub told oohooh outro ksi ksi trippi redd woahohoh nahnahnahnah ayi ayi stori nah nah woahohoh guess stori goesemb
85,Hollon,GloRilla,"['Hip-Hop', 'Southern Rap', 'Dirty South', 'Memphis Rap', 'Rap', 'USA', 'In English']",ayi hol ho hol hol hol ho ayi hol ho hol hol hol ho ayi hol ho hol hol hol ho ayi hol ho hol hol hol ho ho start fuck bitch gnarli fuck parti gon step shit stamp goon swipe bitch disput charg gang makin music beatin bitch marchin woo hand ho band chanc chanc chanc nigga uhuh sayin lil danc folk goin land folk ayi hol ho hol hol hol ho ayi hol ho hol hol hol ho ayi hol ho hol hol hol ho ayi hol ho hol hol hol ho iiii pressur pressur follow rule rebel stand bitch special ayi stand bitch kevin god bumass bitch messi messi start bitch petti ho linе bitch readi pick choos whoevеr diamond cert ice certi smilin nigga ho knock thirtytwo bumass door hear engin vroom vroom switch sport lil babi gang glorilla liveget ticket likechoru ayi hol ho hol hol hol ho ayi hol ho hol hol hol ho ayi hol ho hol hol hol ho ayi hol ho hol hol hol ho glock drum yeah favorit gun bop nigga favorit nah real yeah rareass bitch nigga fuck nah mine cum freak sheet street babi thug threw tenthousandsomethin fuckin club huh hoo poppin hard shit shit nigga type stupid bitch gang ayi hol ho hol hol hol ho ayi hol ho hol hol hol ho ayi hol ho hol hol hol ho ayi hol ho hol hol hol hoemb
86,Liar,Jelly Roll,"['In English', 'USA', 'Country']",drive mind count time feel nothin play fool fool prechoru drink whiskey pop pill money happi heaven real love heart broke nothin liar yeah walk yeah underground hear head bed dream friend blow smoke scare tellin liar jelli roll liveget ticket likevers burn time devil disguis hide true color leav lead prechoru drink whiskey pop pill money happi heaven real love heart broke nothin liar yeah walk yeah underground hear head bed dream friend blow smoke scare tellin liar bridg doin swear poison liar liar yeah walk yeah underground hear head bed dream friend blow smoke scare tellin liaremb
87,We Pray,"Coldplay Featuring Little Simz, Burna Boy, Elyanna & TINI","['Singer-Songwriter', 'Conscious Hip-Hop', 'Trap', 'Pop Rap', 'Rap', 'UK Rap', 'UK Pop', 'England', 'UK', 'Nigeria', 'Palestinian - فلسطيني', 'Middle East', 'Argentina', 'In English', 'Pop']",simz elyanna chri martin burna boy woah pray ooh chri martin pray pray pray lift pray brother bless pray pray virgilio win pray judg forgiv sin pray pray friend pull pray pray love pray breath valley shadow death chri martin chri martin simz burna boy pray pray shelter record play pray sing baray pray thе day pray somеwher heaven waitin pray amazin pray feel pain day likevers simz chri martin simz burna boy pray love shelter fear pray trust wipe tear confront pain card dealt life pray speak truth sister aliv sea yeah followin dream yeah knock door yeah allow pass yeah pray speak tongu honest understand modest pray mirror queen goddess chri martin chri martin simz burna boy pray pray shelter record play pray singin baray pray day pray heaven waitin pray amazin pray feel pain day bridg burna boy knee pray sleep wake head frighten smile grace love hey chri martin simz elyanna burna boy chri martin elyanna tini pray pray pray pray pray singin baray nobodi postchoru choir simz burna boy burna boy choir lalala lala lala lala lalala lala lala lalala lalala lala lala sing lalala lala pray pray lalala lala lala heaven waitin waitin lalala lala lala amazin amazin lalala lala lala feel pain lalala lala pray pray outro chri martin choir lalala lala lala lalala lala lala lalala lala lala lalala lala pray pray prayemb
88,Fix What You Didn't Break,Nate Smith,"['USA', 'In English', 'Country Rock', 'Country']",tenyear train wreck lastcal longneck searchin hurt real bad movin gettin sidetrack step fault scare fall prechoru somethin babi girl pain save yeah leav lone heartbreak pick piec mess couldv left wing girl break star pitch black shine answer prayer pick towel threw heart ruin tattoo love nate smith liveget ticket likechoru yeah leav lone heartbreak pick piec mess couldv left wing girl break break bridg somethin babi girl pain save yeah leav lone heartbreak pick piec mess couldv left wing girl break breakemb
89,Coincidence,Sabrina Carpenter,"['Alternative Pop', 'Sunshine Pop', 'Folk Rock', 'Country Pop', 'Country', 'Folk Pop', 'Folk', 'Singer-Songwriter', 'In English', 'USA', 'Pop']",aon woo head chest real sixth sens bein life damn citi damn night lost common sens coincid postchoru nana nananana nana nananana week doubt week holdin space tongu mouth shе sendin pictur wеarin tryna tens huh suckin mutual friend lost common sens lost common sens told truth percent uh percent coincid uh sabrina carpent liveget ticket likepostchoru nana nananana nana nananana nananana nananana nananana nananana bridg surpris phone die car drove thigh palm spring nice damn kinda girl outgrew coincid wow broke coincid outro nana nananana coincid nana nananana coincid nananana nananana coincid nananana nananana coincidenceemb
90,Close To You,Gracie Abrams,"['Alternative Pop', 'Alternative', 'New Wave (Rock)', 'Synthwave', 'Dance-Pop', 'Dance', 'Teen Pop', 'Synth-Pop', 'Singer-Songwriter', 'USA', 'In English', 'Pop']",close close singl provoc bodi burn smoki dark crowd pink light june ahh cool sudden prechoru burn close pull trigger gun met wanna close break heart start overnight postchoru close close close close close close graci abram liveget ticket likevers mouth move cinemat time pull touch neck die life sign dot ahh chemic overrid ultraviolet tonight prechoru burn close pull trigger gun met wanna close break heart start overnight postchoru close close close close close close bridg burn close pull trigger gun met wanna close break heart start overnight postchoru close close close close close ooh close close close ahh close ahh close outro close close close youemb
91,Sharpest Tool,Sabrina Carpenter,"['Ambient Pop', 'Ambient', 'Bubblegum Pop', 'Electro-Pop', 'Experimental Folk', 'Alternative Dance', 'Synth-Pop', 'Dance-Pop', 'Bubblegum Dance', 'Drum & Bass', 'Electronic', 'Folktronica', 'Ballad', 'Bubblegum Bass', 'Dance', 'Alternative', 'Alternative Pop', 'Folk Pop', 'Folk', 'Singer-Songwriter', 'In English', 'USA', 'Pop']",sharpest tool sex met friend bird fli forget hear word guilt creep tuesday send soft hey recal time prechoru goin left left lot shit secondguess guess wast wonderin casual idiot lookin answer inbetween line lyin werе fine confus upsеt talk talk talk bridg silenc wors leav topofmind silenc strategi leav topofmind sabrina carpent liveget ticket likerefrain talk god ex hous phone facedown overnight bitch hate talk guilttrip log leavin dumbfound ohoh prechoru goin left left lot shit secondguess guess wast wonderin casual idiot lookin answer inbetween line lyin fine confus upset talk talk talk talk talk talk talk talk talk talk talk talk talk refrain talk god ex hous phone facedown overnight bitch hate talk guilttrip log leavin dumbfound ohoh outro talk talk talk talk talk talk talk talk talk talk talk talk talk itemb
92,Chevrolet,Dustin Lynch Featuring Jelly Roll,"['USA', 'In English', 'Duet', 'Country']",dustin lynch dress kill boot peg uptown type yeah talk corner booth closin time caught surpris dustin lynch dirt road window wanna lost edg town chevrolet sixpack brook dunn countri girl slip yeah chevrolet jelli roll fell love thеre werе door song care waitin dustin lynch jelli roll dirt road window wanna lost edg town chevrolet sixpack brook dunn countri girl slip yeah chevrolet ride chevrolet dustin lynch liveget ticket likebridg dustin lynch jelli roll lord prayin day girl dustin lynch jelli roll dirt road window wanna lost edg town chevrolet chevrolet sixpack brook dunn countri girl slip slip chevrolet ooh dirt road window wanna lost edg town chevrolet sixpack brook dunn countri girl slip chevrolet woah outro dustin lynch jelli roll chevrolet chevroletemb
93,Worst Way,Riley Green,"['In English', 'USA', 'Country']",tonight bringin wine tonight bringin rose talkin time light walk door wanna girl wait worst hand needin hip tast whiskey lip close blind lock door break babi tonight love worst babi love wine dine menu tonight remind skin skin feel heaven angel tonight wanna slip wing riley green liveget ticket likechoru worst hand needin hip tast whiskey lip close blind lock door break babi tonight love worst worst worst hand needin hip tast whiskey lip close blind lock door break babi tonight love worst worst outro worst wayemb
94,Ski,Future,"['Southern Rap', 'Trap', 'In English', 'USA', 'Atlanta Rap', 'Hip-Hop', 'Rap']",gon nigga yola bout drop eighth soda prada store cowabunga california rari roll droppin vert pushin coup slum doin smackin bitch perc hit speakin tongu cover fuckin check freebandz life demon devil rockеt launch fuck max pollut cup lovе slut bitch knock trap cut sittin plottin nigga turnt stayin cop pj worth boy feel god interlud god omg chrome heart accessori phetamin aroma wanna stand boss yeah pluto head trip fall feel king sippin red moon chopper sittin bed med trippin trippin money bench slappin pinch nigga puttin fendi ski mula true woo woo doin shit numero uno woo pluto ski ski likechoru club dime flossin readi slide ski ski readi surf ski ski goin berzerk ski worst worth fbg money clean dirti yeah tweakin geekin perki uh purpos wrist uh cuttin diamond perfect uh nigga gon pull nigga brrt brrt ski rich slide nigga ski bodi filter ski siames bitch nympho ski send flight citi bird view gettin turnt gettin litti crew grr shark water model comin twodoor twoton fullthrottl ima dot drop motto ayi gang wrong stay partner murder pitch black broad day drop gunner rack bad bitch gon follow drink syrup foot pedal brr bird sky slatt slatt chanc ride slatt ayi slatt love bitch smack smack pull bat walk walk activ interlud rip trigger trey rip junior boss real gangster brr brr club dime flossin readi slide ski ski readi surf ski ski goin berzerk ski worst worth club dime flossin readi slide ski ski readi surf ski ski goin berzerk skiemb
95,New Drop,Don Toliver,"['USA', 'Hip-Hop', 'Texas Rap', 'In English', 'Rap']",girl cut fell love fell love girl cut choos fell love fell love fell love girl cut choos fell love fell love gotta nono hous hoin yeahyeah yeah freakin yeah honeymoon aspen snowin yeah stay cut ahyeah bitch cutter thе pie yeah wanna fuck gun thе car bitch nightlight poppin glowin yeah nigga jeez yeah nigga ride street mclaren damn feelin dubai damn feelin tupac woo eat threw bop damn ridin ridin drop toliv liveget ticket likechoru girl cut fell love fell love girl cut choos fell love fell love fell love girl cut choos fell love fell love lose control trippin bitch told em play sittin yeah em mode readi kick door yeah max soldier bitch bite cobra fuck yeah fuck fuck yeah fuck fuck shit movin cost chees chrome heart freez tuck pant hardston shit bleed choppin chop shit yeah chop real quick bodi twerkin ya fuck rat fuck shippin drop poppin ha hawkin binocular ha holler phone blockin girl cut fell love fell love girl cut choos fell love fell love fell love girl cut choos fell love fell love outro futur wheezi outta hereemb
96,This Is My Dirt,Justin Moore,"['Singer-Songwriter', 'Country']",hard cake overal sweat neck chaw jaw stranger pull met barn sir build hous neighborhood wonder wanna sell farm dog bark run paus spit ground kick gravel look dirt field harvest plant pond catch bluegil built barn hand rais babi piec mе nah piec land monеyd life greenback dollar worth dirt granddaddi bought acr marri sign paper brother frame farmhous fenc post ground barb wire pull plow hay bale bale yeah hate sell justin moor liveget ticket likechoru dirt field harvest plant pond catch bluegil built barn hand rais babi piec nah piec land moneyd life greenback dollar worth dirt bridg gener pray rain cover lord call dirt field harvest plant pond catch bluegil built barn hand rais babi piec nah piec land moneyd life greenback dollar worth dirt outro yeah dirt yeah dirt harvest plant dirt rais babi dirtemb
97,Fall Fast In Love,Rod Wave,"['Southern Rap', 'Hip-Hop', 'Florida Rap', 'In English', 'USA', 'Soul', 'R&B', 'Rap']",chri idiot yeah tturn five uhhuh uh uh uhuh uh mmmmmmmmmm save betray feelin unlucki babi lot trauma exe crazi realist realest wrote song smile feel uhhuh uh uh judg judg thug pop perc beat love grrah day thuggin yeah love aunti barbado momma thug cousin famili tough love play crazi babi babi week ima lust month love wrote letter bought ticket flight leav uh uh uh rod wave liveget ticket likechoru fallin fast love safe fallin fast crazi scare uh uh uh yeah uh uh uh uh fallin fast love safe postchoru uh uh safe uh hold damn hate relationship goin titfortat everytim nigga shot everytim nigga spin spin start spinnin start spinnin wors messi shit wanna letter babi girl send yeah heart lil minut fallin fast love safe fallin fast crazi scare uh uh uh yeah uh uh uh uh fallin fast love safe postchoru uh uh safe uh hold onemb
98,Holy Smokes,Bailey Zimmerman,"['USA', 'In English', 'Country Pop', 'Country']",scare devil dad park nothin play flame momma lighter fore hook heaven preacher spot church park lot hangin cross rearview eye blue thе red pack cigarеtt seventeen hallelujah life heavi chevi holi ghost somethin bout rush fallin love lightin holi smoke runnin pick left night piss mama walk marri wood door heaven preacher spot church parkin lot hangin cross rearview eye blue red pack cigarett seventeen hallelujah life heavi chevi holi ghost somethin bout rush fallin love lightin holi smoke bailey zimmerman liveget ticket likebridg nothin bout night sinnin jesu forgiv forget heaven preacher spot church parkin lot hangin cross rearview eye blue red pack cigarett seventeen hallelujah life heavi chevi holi ghost somethin bout rush fallin love lightin holi smoke ohemb
99,All Red,Playboi Carti,"['Gangsta Rap', 'Hip-Hop', 'Southern Rap', 'Dark Trap', 'Rap', 'In English', 'USA', 'Atlanta Rap', 'Trap']",wake flthi hol uh upsidedown cross tat neck shut em uh uh upsidedown cross tat neck shut em upsidedown cross tat neck shut em uh uh upsidedown cross tat neck shut em uh bentley park vibe tryna ride vetement thigh mask fri red stay five red pull red dyin red pour drive push sig madden blitz rock badg rich thot bitch yeah thot bitch yeah spot spray bitch spot spray bitch spot shit hol uh drop layin bitch hol hol stolen vehicl drive bitch hol pushin yo block spray em uh pushin yo block spray em send em prayer send em prayer shit goin crazi nother level nother level type player type player creativ player shawti goin shawti slayer shawti treat mail fuck em bring drive coup rodeo bout likechoru upsidedown cross tat neck shut em uh uh upsidedown cross tat neck shut em upsidedown cross tat neck shut em uh uh upsidedown cross tat neck shut em uh bentley park broad tryna ride vetement thigh mask fri red stay five red pull red dyin red pour driveemb
100,Passport Junkie,Rod Wave,"['Southern Rap', 'USA', 'Hip-Hop', 'Soul', 'Trap', 'Florida Rap', 'Cloud Rap', 'Soul Rap', 'In English', 'Chillout', 'Rap']",tryna spit real shit time shit tryna thurl yeah yeah yeah uh bahama light turk told love parti yeah five shit gettin start damn pretti girl pretti girl pretti girl bad bitch holdin hand time expand wanna gram pic sand tryna tan thailand gotta pack cloth shop land badbitch view willin tulum rеadi slow roll readi shе passport junki spend bread dummi yeah met sunday airport monday gettin money girl countri nigga fun takin shot gettin blunt love leavin spend month gon compet pari fli famili rent yacht miami listen listen listen love miami wanna wanna time chang time chang wanna passport junki takin trip countri takin trip countri time chang time chang ayi listen wanna bag bag talkin bout wanna youngin rod wave liveget ticket likeoutro forget twohundreddollar hotel shit shit sir hahahaha time chang bag focu paper focu manemb
